day,interval,detid,flow,occ,error,city,speed
2017-11-13,31200,N53231G,12.0,12.0,1.0,bolton,1.0
2017-11-13,31200,N53231F,48.0,0.6,1.0,bolton,80.0
2017-11-13,31200,N53241W,240.0,8.57142857142857,1.0,bolton,28.0
2017-11-13,31200,N53251K,132.0,4.71428571428571,1.0,bolton,28.0
2017-11-13,31200,N53241X,72.0,24.0,1.0,bolton,3.0
2017-11-13,31200,N53291A,312.0,9.75,1.0,bolton,32.0
2017-11-13,31200,N53251L,108.0,2.51162790697674,1.0,bolton,43.0
2017-11-13,31200,N53291B,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53291C,600.0,20.0,1.0,bolton,30.0
2017-11-13,31200,N53411K,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53411A,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53291Z,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53411M,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53291Y,48.0,0.6,1.0,bolton,80.0
2017-11-13,31200,N53411P,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53411O,180.0,3.91304347826087,1.0,bolton,46.0
2017-11-13,31200,N53421R,300.0,6.52173913043478,1.0,bolton,46.0
2017-11-13,31200,N53481E,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53421S,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53481G,204.0,5.1,1.0,bolton,40.0
2017-11-13,31200,N53421U,1080.0,26.3414634146342,1.0,bolton,41.0
2017-11-13,31200,N53261U,360.0,9.47368421052632,1.0,bolton,38.0
2017-11-13,31200,N53261V,48.0,2.52631578947368,1.0,bolton,19.0
2017-11-13,31200,N53481F,12.0,0.15,1.0,bolton,80.0
2017-11-13,31200,N53261F,840.0,44.2105263157895,1.0,bolton,19.0
2017-11-13,31200,N53261W,1308.0,34.421052631579,1.0,bolton,38.0
2017-11-13,31200,N53261Y,180.0,2.57142857142857,1.0,bolton,70.0
2017-11-13,31200,N53261X,912.0,22.2439024390244,1.0,bolton,41.0
2017-11-13,31200,N53271R,528.0,16.5,1.0,bolton,32.0
2017-11-13,31200,N53271I,396.0,14.6666666666667,1.0,bolton,27.0
2017-11-13,31200,N53272A,576.0,20.5714285714286,1.0,bolton,28.0
2017-11-13,31200,N53281G,900.0,27.2727272727273,1.0,bolton,33.0
2017-11-13,31200,N53272E,192.0,6.4,1.0,bolton,30.0
2017-11-13,31200,N53272D,624.0,13.8666666666667,1.0,bolton,45.0
2017-11-13,31200,N53282H,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53272C,828.0,30.6666666666667,1.0,bolton,27.0
2017-11-13,31200,N53311D,900.0,33.3333333333333,1.0,bolton,27.0
2017-11-13,31200,N53312B,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53312C,708.0,26.2222222222222,1.0,bolton,27.0
2017-11-13,31200,N53312S,336.0,9.08108108108108,1.0,bolton,37.0
2017-11-13,31200,N53313E,0.0,0.0,1.0,bolton,0.0
2017-11-13,31200,N53311L,24.0,0.3,1.0,bolton,80.0
2017-11-13,31200,N53312U,564.0,20.1428571428571,1.0,bolton,28.0
2017-11-13,31200,N53312T,696.0,25.7777777777778,1.0,bolton,27.0
2017-11-13,31200,N53381H,252.0,9.33333333333333,1.0,bolton,27.0
2017-11-13,31200,N53382G,372.0,12.4,1.0,bolton,30.0
2017-11-13,31200,N53391J,624.0,18.9090909090909,1.0,bolton,33.0
2017-11-13,31200,N53391K,36.0,1.2,1.0,bolton,30.0
2017-11-13,31200,N53391M,984.0,25.8947368421053,1.0,bolton,38.0
2017-11-13,31200,N53391Q,48.0,2.4,1.0,bolton,20.0
2017-11-13,31200,N53391N,1248.0,32.8421052631579,1.0,bolton,38.0
2017-11-13,31200,N52151B,60.0,0.75,1.0,bolton,80.0
2017-11-13,31200,N52151A,24.0,0.3,1.0,bolton,80.0
2017-11-13,32100,N51141G,1116.0,39.8571428571429,1.0,bolton,28.0
2017-11-13,32100,N51151A,312.0,8.21052631578947,1.0,bolton,38.0
2017-11-13,32100,N51151B,792.0,29.3333333333333,1.0,bolton,27.0
2017-11-13,32100,N51151D,720.0,22.5,1.0,bolton,32.0
2017-11-13,32100,N51161W,936.0,42.5454545454546,1.0,bolton,22.0
2017-11-13,32100,N51161X,156.0,5.57142857142857,1.0,bolton,28.0
2017-11-13,32100,N51161Y,828.0,29.5714285714286,1.0,bolton,28.0
2017-11-13,32100,N51161Z,228.0,5.5609756097561,1.0,bolton,41.0
2017-11-13,32100,N51171M,1488.0,67.6363636363637,1.0,bolton,22.0
2017-11-13,32100,N51171N,276.0,5.63265306122449,1.0,bolton,49.0
2017-11-13,32100,N51171R,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N51171S,216.0,4.69565217391304,1.0,bolton,46.0
2017-11-13,32100,N51171V,828.0,25.875,1.0,bolton,32.0
2017-11-13,32100,N51231N,552.0,22.08,1.0,bolton,25.0
2017-11-13,32100,N51231O,408.0,11.6571428571429,1.0,bolton,35.0
2017-11-13,32100,N51231P,252.0,14.8235294117647,1.0,bolton,17.0
2017-11-13,32100,N51232K,540.0,19.2857142857143,1.0,bolton,28.0
2017-11-13,32100,N51232L,588.0,21.7777777777778,1.0,bolton,27.0
2017-11-13,32100,N51241B,432.0,13.5,1.0,bolton,32.0
2017-11-13,32100,N51241D,552.0,18.4,1.0,bolton,30.0
2017-11-13,32100,N51241E,900.0,30.0,1.0,bolton,30.0
2017-11-13,32100,N51241F,624.0,36.7058823529412,1.0,bolton,17.0
2017-11-13,32100,N51242G,300.0,13.6363636363636,1.0,bolton,22.0
2017-11-13,32100,N51242H,984.0,30.75,1.0,bolton,32.0
2017-11-13,32100,N51242J,684.0,27.36,1.0,bolton,25.0
2017-11-13,32100,N51321X,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N51321S,1440.0,72.0,1.0,bolton,20.0
2017-11-13,32100,N51321R,72.0,0.9,1.0,bolton,80.0
2017-11-13,32100,N51321P,648.0,18.5142857142857,1.0,bolton,35.0
2017-11-13,32100,N51321T,708.0,29.5,1.0,bolton,24.0
2017-11-13,32100,N51381R,336.0,37.3333333333333,1.0,bolton,9.0
2017-11-13,32100,N51381Q,276.0,23.0,1.0,bolton,12.0
2017-11-13,32100,N51381M,288.0,9.6,1.0,bolton,30.0
2017-11-13,32100,N53141D,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53141B,0.0,0.0,1.0,bolton,0.0
